Order Number,Item,Pinyin,Frequency
327,注意 到,zhu4 yi4   dao4,103
459,的 意思,de   yi4 si,82
526,不 愿意,bu4   yuan4 yi4,75
606,意识 到,yi4 shi2   dao4,68
735,意思 是,yi4 si   shi4,60
770,意味 着,yi4 wei4   zhe,58
861,什么 意思,shen2 me   yi4 si,54
900,的 意思 是,de   yi4 si   shi4,52
912,我 的 意思,wo3   de   yi4 si,52
1012,是 什么 意思,shi4   shen2 me   yi4 si,49
1086,我 的 意思 是,wo3   de   yi4 si   shi4,46
1564,没有 注意,mei2 you3   zhu4 yi4,35
1779,的 注意力,de   zhu4 yi4 li4,31
2380,没有 注意 到,mei2 you3   zhu4 yi4   dao4,25
2419,得意 地,de2 yi4   di4,25
2932,哈利 注意 到,ha1 li4   zhu4 yi4   dao4,21
2951,哈利 注意,ha1 li4   zhu4 yi4,21
3310,你 愿意,ni3   yuan4 yi4,19
3722,这 是 什么 意思,zhe4   shi4   shen2 me   yi4 si,18
3860,的 注意,de   zhu4 yi4,17
3980,那 玩意儿,na4   wan2 yi4 er2,17
4294,就 意味,jiu4   yi4 wei4,16
4296,就 意味 着,jiu4   yi4 wei4   zhe,16
4334,意识 到 自己,yi4 shi2   dao4   zi4 ji3,16
4502,这 意味,zhe4   yi4 wei4,15
4615,这 意味 着,zhe4   yi4 wei4   zhe,15
4728,地 意识,di4   yi4 shi2,15
4729,地 意识 到,di4   yi4 shi2   dao4,15
4926,愿意 让,yuan4 yi4   rang4,14
4927,愿意 跟,yuan4 yi4   gen1,14
5435,我 愿意,wo3   yuan4 yi4,13
5952,没有 意识 到,mei2 you3   yi4 shi2   dao4,12
6266,没有 意识,mei2 you3   yi4 shi2,12
6274,注意 到 了,zhu4 yi4   dao4   le,12
6295,的 玩意儿,de   wan2 yi4 er2,12
6415,会 愿意,hui4   yuan4 yi4,12
6434,得意 的,de2 yi4   de,12
6443,了 主意,le   zhu3 yi4,11
6597,这 就 意味 着,zhe4   jiu4   yi4 wei4   zhe,11
6687,意味 着 什么,yi4 wei4   zhe   shen2 me,11
6821,可 不 愿意,ke3   bu4   yuan4 yi4,11
6833,如果 你 愿意,ru2 guo3   ni3   yuan4 yi4,11
6864,这 就 意味,zhe4   jiu4   yi4 wei4,11
6876,是 故意,shi4   gu4 yi4,11
7027,不 介意,bu4   jie4 yi4,11
7282,示意 哈利,shi4 yi4   ha1 li4,10
7304,突然 意识,tu1 ran2   yi4 shi2,10
7305,突然 意识 到,tu1 ran2   yi4 shi2   dao4,10
7452,注意 的,zhu4 yi4   de,10
7459,你 这 是 什么 意思,ni3   zhe4   shi4   shen2 me   yi4 si,10
7547,意味 深长,yi4 wei4   shen1 chang2,10
7718,人 愿意,ren2   yuan4 yi4,10
8696,才 意识 到,cai2   yi4 shi2   dao4,9
8697,才 意识,cai2   yi4 shi2,9
8708,打定 主意,da3 ding4   zhu3 yi4,9
8974,他 的 注意力,ta1   de   zhu4 yi4 li4,9
9134,不 会 愿意,bu4   hui4   yuan4 yi4,9
9459,不 是 故意,bu4   shi4   gu4 yi4,8
9781,人 注意,ren2   zhu4 yi4,8
9844,得意 地 笑,de2 yi4   di4   xiao4,8
10245,他 愿意,ta1   yuan4 yi4,8
10538,注意 到 他,zhu4 yi4   dao4   ta1,8
10572,满意 的,man3 yi4   de,8
10617,不怀好意 地,bu4 huai2 hao4 yi4   di4,8
10920,得意 地 说,de2 yi4   di4   shuo1,8
10922,得意 地 笑 着,de2 yi4   di4   xiao4   zhe,8
11116,不 是 有意,bu4   shi4   you3 yi4,7
11156,不 注意,bu4   zhu4 yi4,7
11176,好 主意,hao3   zhu3 yi4,7
11435,这 玩意儿,zhe4   wan2 yi4 er2,7
11772,意外 事故,yi4 wai4   shi4 gu4,7
11773,意味 着 他,yi4 wei4   zhe   ta1,7
11774,意思 了,yi4 si   le,7
11775,意外 的,yi4 wai4   de,7
11776,意识 到 他,yi4 shi2   dao4   ta1,7
11829,我 可 不 愿意,wo3   ke3   bu4   yuan4 yi4,7
11832,我 同意,wo3   tong2 yi4,7
12272,是 有意,shi4   you3 yi4,7
12582,哈利 突然 意识 到,ha1 li4   tu1 ran2   yi4 shi2   dao4,7
12583,哈利 突然 意识,ha1 li4   tu1 ran2   yi4 shi2,7
12664,也 不 愿意,ye3   bu4   yuan4 yi4,7
12801,也 注意,ye3   zhu4 yi4,7
12845,的 得意,de   de2 yi4,7
13176,不 愿意 让,bu4   yuan4 yi4   rang4,6
13293,你 不 介意,ni3   bu4   jie4 yi4,6
13693,请 注意,qing3   zhu4 yi4,6
14069,你 的 意思,ni3   de   yi4 si,6
14226,很 乐意,hen3   le4 yi4,6
14427,恶意 的,e4 yi4   de,6
14433,到底 是 什么 意思,dao4 di3   shi4   shen2 me   yi4 si,6
14471,意味 深长 地,yi4 wei4   shen1 chang2   di4,6
14481,愿意 跟 我,yuan4 yi4   gen1   wo3,6
14658,个 主意,ge4   zhu3 yi4,6
14671,他 不 愿意,ta1   bu4   yuan4 yi4,6
14884,挥手 致意,hui1 shou3   zhi4 yi4,6
14960,故意 的,gu4 yi4   de,6
15014,同意 了,tong2 yi4   le,6
15118,是 故意 的,shi4   gu4 yi4   de,6
15290,哈利 不 愿意,ha1 li4   bu4   yuan4 yi4,6
15835,也 没有 注意,ye3   mei2 you3   zhu4 yi4,6
15838,也 注意 到,ye3   zhu4 yi4   dao4,6
15929,的 意见,de   yi4 jian4,6
16622,突然 意识 到 自己,tu1 ran2   yi4 shi2   dao4   zi4 ji3,5
16638,你 不 愿意,ni3   bu4   yuan4 yi4,5
16829,不 是 故意 的,bu4   shi4   gu4 yi4   de,5
17353,谁 愿意,shui2   yuan4 yi4,5
17648,这 个 意思,zhe4   ge4   yi4 si,5
18093,不怀好意 的,bu4 huai2 hao4 yi4   de,5
18155,一 个 主意,yi1   ge4   zhu3 yi4,5
18192,集中 意念,ji2 zhong1   yi4 nian4,5
18231,非常 满意,fei1 chang2   man3 yi4,5
18447,什么 玩意儿,shen2 me   wan2 yi4 er2,5
18494,介意 吧,jie4 yi4   ba,5
18506,一 副 得意洋洋,yi1   fu4   de2 yi4 yang2 yang2,5
18541,副 得意洋洋,fu4   de2 yi4 yang2 yang2,5
18598,愿意 告诉,yuan4 yi4   gao4 su4,5
18599,愿意 听,yuan4 yi4   ting1,5
18600,愿意 把,yuan4 yi4   ba3,5
19001,把 那 玩意儿,ba3   na4   wan2 yi4 er2,5
19113,拿定 了 主意,na2 ding4   le   zhu3 yi4,5
19114,拿定 主意,na2 ding4   zhu3 yi4,5
19242,故意 把,gu4 yi4   ba3,5
19276,个 意思,ge4   yi4 si,5
19366,明白 我 的 意思,ming2 bai2   wo3   de   yi4 si,5
19485,是 愿意,shi4   yuan4 yi4,5
19562,是 这 个 意思,shi4   zhe4   ge4   yi4 si,5
19806,他 的 注意,ta1   de   zhu4 yi4,5
19879,根本 没有 注意,gen1 ben3   mei2 you3   zhu4 yi4,5
20030,主意 要,zhu3 yi4   yao4,5
20037,下意识 地,xia4 yi4 shi2   di4,5
20064,没 注意,mei2   zhu4 yi4,5
20078,没有 人 注意,mei2 you3   ren2   zhu4 yi4,5
20079,没有 人 愿意,mei2 you3   ren2   yuan4 yi4,5
20578,也 注意 到 了,ye3   zhu4 yi4   dao4   le,5
20593,的 寒意,de   han2 yi4,5
20628,的 意思 了,de   yi4 si   le,5
20793,不 同意,bu4   tong2 yi4,5
21053,真 不 愿意,zhen1   bu4   yuan4 yi4,5
