Order Number,Item,Pinyin,Frequency
459,的 意思,de   yi4 si,82
735,意思 是,yi4 si   shi4,60
737,德思礼 一,de2 si1 li3   yi1,59
749,德思礼 一 家,de2 si1 li3   yi1   jia1,59
861,什么 意思,shen2 me   yi4 si,54
900,的 意思 是,de   yi4 si   shi4,52
912,我 的 意思,wo3   de   yi4 si,52
1012,是 什么 意思,shi4   shen2 me   yi4 si,49
1061,德思礼 夫妇,de2 si1 li3   fu1 fu4,47
1086,我 的 意思 是,wo3   de   yi4 si   shi4,46
2730,德思礼 先生,de2 si1 li3   xian1 sheng1,22
2820,若有所思 地,ruo4 you3 suo3 si1   di4,22
3103,的 思想,de   si1 xiang3,20
3722,这 是 什么 意思,zhe4   shi4   shen2 me   yi4 si,18
3883,阿不思•邓布 利多,a1 bu4 si1 • deng4 bu4   li4 duo1,17
4739,德 思,de2   si1,14
4903,思 礼,si1   li3,14
5091,德 思 礼,de2   si1   li3,14
5350,若有所思 地 说,ruo4 you3 suo3 si1   di4   shuo1,13
5792,德思礼 太太,de2 si1 li3   tai4 tai4,13
5794,德思礼家 的,de2 si1 li3 jia1   de,13
5798,德 思礼,de2   si1 li3,12
6673,思索 着,si1 suo3   zhe,11
7093,集中 思想,ji2 zhong1   si1 xiang3,11
7459,你 这 是 什么 意思,ni3   zhe4   shi4   shen2 me   yi4 si,10
8525,德 思 礼 一,de2   si1   li3   yi1,9
8526,德 思 礼 一 家,de2   si1   li3   yi1   jia1,9
8539,思 礼 一,si1   li3   yi1,9
8540,思 礼 一 家,si1   li3   yi1   jia1,9
9225,的 思绪,de   si1 xu4,9
10516,没有 心思,mei2 you3   xin1 si1,8
10539,不假思索 地,bu4 jia3 si1 suo3   di4,8
11685,德思礼 一 家 三,de2 si1 li3   yi1   jia1   san1,7
11687,德思礼 一 家 三 口,de2 si1 li3   yi1   jia1   san1   kou3,7
11690,德思礼 家,de2 si1 li3   jia1,7
11774,意思 了,yi4 si   le,7
12339,和 德思礼,he2   de2 si1 li3,7
12853,在 德思礼,zai4   de2 si1 li3,7
13262,离开 德思礼家,li2 kai1   de2 si1 li3 jia1,6
14069,你 的 意思,ni3   de   yi4 si,6
14104,不假思索 地 说,bu4 jia3 si1 suo3   di4   shuo1,6
14433,到底 是 什么 意思,dao4 di3   shi4   shen2 me   yi4 si,6
15108,是 德思礼,shi4   de2 si1 li3,6
15292,哈利 不假思索 地,ha1 li4   bu4 jia3 si1 suo3   di4,6
15293,哈利 不假思索,ha1 li4   bu4 jia3 si1 suo3,6
15916,的 心思,de   xin1 si1,6
15922,的 思路,de   si1 lu4,6
15924,在 德思礼家,zai4   de2 si1 li3 jia1,6
17648,这 个 意思,zhe4   ge4   yi4 si,5
18378,德 思礼 先生,de2   si1 li3   xian1 sheng1,5
18460,思考 的,si1 kao3   de,5
18461,思礼 先生,si1 li3   xian1 sheng1,5
19276,个 意思,ge4   yi4 si,5
19366,明白 我 的 意思,ming2 bai2   wo3   de   yi4 si,5
19562,是 这 个 意思,shi4   zhe4   ge4   yi4 si,5
19636,和 德思礼 一 家,he2   de2 si1 li3   yi1   jia1,5
19637,和 德思礼 一,he2   de2 si1 li3   yi1,5
19762,哈利 不假思索 地 说,ha1 li4   bu4 jia3 si1 suo3   di4   shuo1,5
20033,沉思 着,chen2 si1   zhe,5
20628,的 意思 了,de   yi4 si   le,5
