Order Number,Item,Pinyin,Frequency
615,不 应该,bu4   ying1 gai1,67
1972,你 应该,ni3   ying1 gai1,29
2463,我们 应该,wo3 men   ying1 gai1,24
2746,我 应该,wo3   ying1 gai1,22
3061,应该 把,ying1 gai1   ba3,21
3433,他 应该,ta1   ying1 gai1,19
4527,我 不 应该,wo3   bu4   ying1 gai1,15
4619,应该 是,ying1 gai1   shi4,15
4660,应该 知道,ying1 gai1   zhi1 dao4,15
5619,就 应该,jiu4   ying1 gai1,13
5736,的 反应,de   fan3 ying4,13
6625,应该 在,ying1 gai1   zai4,11
7049,也 应该,ye3   ying1 gai1,11
7760,是 不 应该,shi4   bu4   ying1 gai1,10
7912,应该 让,ying1 gai1   rang4,10
8877,是 应该,shi4   ying1 gai1,9
9128,现在 应该,xian4 zai4   ying1 gai1,9
10023,他 不 应该,ta1   bu4   ying1 gai1,8
11088,不 是 应该,bu4   shi4   ying1 gai1,7
11252,你们 应该,ni3 men   ying1 gai1,7
11950,反应 过来,fan3 ying4   guo4 lai2,7
12226,是 不 是 应该,shi4   bu4   shi4   ying1 gai1,7
12579,应该 到,ying1 gai1   dao4,7
12588,应该 怎么,ying1 gai1   zen3 me,7
13081,不 应该 知道,bu4   ying1 gai1   zhi1 dao4,7
13994,已经 答应,yi3 jing1   da1 ying4,6
14093,应该 为,ying1 gai1   wei4,6
14095,应该 告诉,ying1 gai1   gao4 su4,6
14098,应该 怎么 做,ying1 gai1   zen3 me   zuo4,6
14099,应该 有,ying1 gai1   you3,6
14103,应该 给,ying1 gai1   gei3,6
17228,认为 应该,ren4 wei2   ying1 gai1,5
17969,应该 再,ying1 gai1   zai4,5
17971,应该 去,ying1 gai1   qu4,5
17983,应该 说,ying1 gai1   shuo1,5
19385,是 不 应该 知道,shi4   bu4   ying1 gai1   zhi1 dao4,5
20471,他们 应该,ta1 men   ying1 gai1,5
