Item,Frequency
살인 네,6
살인 낙서한테서 숨는,6
살인 도구도,6
그 계집애는,6
그 계집애를,6
같은 사람들 때문에,6
살인 말이야,6
살인 두 건을,6
너의 것과,6
살인 무기의,6
살인 미수요,6
살인 발생,6
살인 방법을,6
너의 경보,6
살인 보드,6
살인 병기로,6
너의 곁에 있을게 네,6
살인 사건 발생,6
살인 사건 수사에,6
살인 사건 조사,6
너의 귀를,6
너의 기억이란 숙취를,6
너의 기억이란,6
같은 사람들에겐,6
살인 사건을 수사 중이에요,6
너의 기억이란 숙취를 깨지,6
살인 사건을 수사하는,6
그 고대 우주,6
살인 사건을 해결하고,6
살인 사건을 조사하는,6
살인 사건을 해결하려고,6
살인 사건이 또 일어났어,6
살인 사건이 있었는데,6
너의 녀석이 될,6
너의 녀석이,6
너의 녀석이 될 수,6
살인 사건일 수도,6
너의 눈은,6
살인 수사를,6
살인 용의자 존,6
살인 용의자 존 툼스가,6
살인 유죄,6
살인 자행하는,6
너의 더러운 일을,6
살인 재판,6
살인 정권,6
너의 돈을,6
같은 사람들을 위해,6
너의 뒤를,6
살인 충동,6
살인 포르노를,6
살인 포르노,6
너의 딸은,6
너의 마음으로 나의,6
살인 혐의로 지명,6
너의 마음으로 나의 생각이,6
살인 혐의야,6
살인 혐의예요,6
너의 말이,6
너의 말에,6
같은 사람들이요,6
살인과 반역죄로,6
너의 머리,6
같은 사람만,6
살인마 같은,6
살인마가 아니야,6
너의 목소리,6
살인마의 손을,6
같은 사람에게는,6
너의 목소리를 들었어,6
너의 목을,6
살인범은 그,6
살인범을 잡기,6
같은 사람에게서,6
살인범을 잡으려고,6
너의 물건을,6
살인범이 누군지,6
살인범이 되는,6
살인범이 아냐,6
살인범이 아니라는,6
있는 거야 더,6
그 곳이다,6
살인범인 줄,6
살인사건 수사를,6
살인사건과 관련된,6
살인사건에 관한,6
너의 번호를,6
살인사건의 밤,6
살인사건을 해결할,6
그 공간은,6
같은 사람은 절대,6
너의 비밀을,6
너의 사랑스러운,6
너의 사랑,6
너의 사랑을,6
살인을 계획하는,6
살인을 막을 수,6
너의 삼촌이,6
살인을 못,6
살인을 어떻게,6
너의 생명을,6
그 공룡,6
그 공무원,6
너의 선택에,6
너의 세계는,6
그 공범이,6
너의 선택이야,6
살인을 저질렀는지,6
그 공연에,6
그 공연은,6
살인을 하는 건,6
그 공원에,6
살인을 한 적이,6
너의 손이,6
있는 거죠 그게,6
살인을 했는데,6
있는 거죠 그럼,6
그 공장은,6
살인이 일어나는,6
너의 신이,6
너의 신과,6
살인이 있기,6
살인이 있었던,6
너의 심장은,6
너의 아기를,6
살인자 아니에요,6
살인자가 된,6
살인자가 밖에,6
너의 아내가,6
만약 그 애가,6
살인자가 아니란,6
살인자가 아니라면,6
살인자가 아직,6
살인자가 아니예요,6
너의 아버지와,6
너의 아버지의,6
그 과정,6
그 과정도,6
같은 사람이 있을,6
너의 아이는,6
살인자라는 사실을,6
너의 아이를,6
살인자로 만들지,6
살인자를 잡을,6
살인자와 함께,6
너의 약속을,6
너의 야망은,6
그 과정의,6
살인자인 걸,6
너의 어머니와,6
살인하는 법을,6
너의 얼굴에,6
살인한 게,6
살자고 할,6
살자고 하면,6
살잖아 난,6
살지 내가,6
너의 여행의,6
너의 여행의 일부가되게,6
너의 여행의 일부가되게 해준,6
살지 모르겠어요,6
살지 못해,6
살지 못할 거야,6
너의 예전,6
너의 운명이다,6
그 광경을 보고,6
너의 원래,6
살지 않죠,6
살지 우리 그냥,6
살지 우리 그냥 그렇게,6
너의 유령이었어,6
그 광대는,6
살지도 몰라요,6
살짜리 내,6
그 광고판은,6
살짜리 소녀,6
살짜리 소년이,6
살짜리 애야,6
살짜리 여자애랑,6
너의 자신의,6
살짜리 여자애를,6
너의 작고,6
살짜리가 어떻게,6
살짜리가 뭘,6
그 괴물을 속여넘겼다구요,6
너의 적이,6
살짝 삔,6
너의 전화기,6
너의 정신적,6
만약 경찰이 그,6
살짝 이,6
너의 정체를,6
살짝 한,6
살짝 태웠어,6
너의 주인공이야,6
살쯤 됐나요,6
너의 죽은,6
살쯤 됐을 거예요,6
살찐 멍멍이,6
살찔까 봐,6
너의 직업은,6
살펴 봄으로써,6
살펴보겠습니다 그가 모든 편지의,6
살펴보겠습니다 그가 모든,6
살펴보겠습니다 그가,6
같은 사람인지,6
같은 사람하고,6
그 교회에,6
같은 사람한테는,6
살펴봐 달라고,6
그 구린,6
너의 친구들을,6
살펴봤는데 아무,6
살펴봤는데 아주,6
살펴봤을 때,6
살펴야 해,6
살피고 올게,6
살피고 있어,6
살피기 위해,6
너의 팀,6
너의 파일을 읽었다,6
살해 도구로,6
너의 특별한,6
살해 동기도,6
그 구슬,6
그 구멍이,6
살해 방법,6
너의 할아버지,6
너의 행동은,6
살해 의도가,6
살해 전에,6
살해 했어,6
살해 현장,6
너의 형은,6
너의 형,6
살해 현장은,6
너의 훌륭한,6
그 구절이,6
있는 걸 깜빡했어,6
살해 협박도,6
그 구조를,6
살해당하기 전에 서두르란 거군요,6
살해당하기 전에 서두르란,6
그 군인들이,6
살해당한 그,6
살해당한 여자,6
살해당한 사람이,6
살해당한 것 같아,6
너잖아 네가,6
살해당할 만한,6
살해당했습니다 경고,6
너처럼 내,6
그 권한을,6
같은 삶을 살게,6
살해됐을 가능성이,6
살해됐어요 이,6
살해되던 날 밤에,6
너처럼 되지,6
살해된 거라면,6
같은 상처를,6
살해된 것 같아,6
같은 상태야,6
너처럼 멍청한,6
살해된 다음,6
살해된 지,6
너처럼 보여,6
살해하라고 한,6
살해하라고 한 걸,6
살해하라고 한 걸 알고,6
너처럼 재능이,6
너처럼 착한,6
살해한 것으로,6
살해한 뒤,6
살해한 그,6
살해한 사람이,6
살해한 사람,6
살해한 혐의로 당신을 체포합니다,6
살해한 책임이,6
살해할 만한,6
살해했다는 걸,6
너하고 난,6
살해했을 수도,6
너하고 너,6
삶 난,6
삶 되세요,6
너하고 달라,6
그 그릇,6
삶 말고,6
삶 오늘 신청하세요,6
삶 속의,6
삶 하지만,6
삶 전체를,6
너한테 갈거야,6
너한테 간다,6
너한테 감정이,6
너한테 갔어,6
너한테 감사해야,6
삶에 가장,6
너한테 거짓말했어,6
너한테 계속 연락했었어,6
삶에 들어와서,6
삶에 무슨 일이,6
삶에 유일하게,6
같은 새끼 저거,6
삶에 큰,6
그 근처에 있는,6
삶에서 벗어날 수,6
너한테 그걸 말했다,6
삶은 가치가,6
너한테 그런 거야,6
그 글에,6
삶은 그,6
삶은 그리,6
너한테 그런 말,6
삶은 다시,6
너한테 그런 짓을 한,6
같은 새끼들이,6
삶은 모두,6
삶은 상상할 수,6
삶은 아무,6
같은 새끼랑,6
삶은 없어,6
너한테 꽂히길,6
너한테 나,6
삶은 항상,6
삶은 참,6
삶을 가치있게,6
삶을 같이,6
삶을 그냥,6
너한테 네,6
삶을 누리게,6
삶을 누리고,6
