Item,Frequency
"一 个",2597
"他 的",1857
"地 说",1663
"了 一",1293
"不 是",961
"哈利 说",698
"是 一",685
"的 一",651
"我 的",646
"的 声音",596
"有 一",560
"哈利 的",559
"一 只",553
"小 天狼星",550
"不 会",545
"个 人",515
"的 人",512
"不 能",510
"你 的",493
"着 一",492
"这 是",471
"邓布 利多",466
"罗恩 说",461
"是 不",460
"的 那",456
"望 着",453
"和 赫敏",448
"看 着",444
"韦斯莱 先生",428
"不 知道",426
"着 他",425
"一 声",422
"也 不",416
"自己 的",413
"麦格 教授",405
"还 有",404
"弗农 姨父",401
"他 说",399
"就 是",396
"了 他",394
"我 不",390
"哈利 和",383
"上 的",382
"罗恩 和",371
"韦斯莱 夫人",370
"了 起来",368
"的 东西",368
"她 的",366
"把 他",356
"说 着",351
"一 种",349
"在 他",348
"里 的",347
"我 想",345
"多 比",340
"一 条",330
"着 哈利",328
"他们 的",323
"是 不 是",317
"两 个",313
"罗恩 和 赫敏",303
"就 在",303
"的 时候",298
"把 它",295
"他 在",289
"有 人",288
"是 什么",282
"和 罗恩",279
"的 是",277
"是 一 个",277
"盯 着",275
"好 了",274
"他 不",270
"一 把",269
"格兰芬 多",261
"了 一 个",258
"地 问",256
"那 个",255
"赫敏 说",252
"的 眼睛",251
"不 要",248
"都 是",247
"这 个",247
"的 事",242
"了 一下",241
"是 啊",241
"那 只",236
"手 里",231
"是 他",227
"那 是",225
"的 脸",223
"坐 在",223
"一 次",221
"他 是",220
"的 魔杖",220
"一 大",220
"的 地方",220
"也 没有",220
"人 都",218
"是 我",216
"几 个",216
"就 会",214
"走 了",214
"但 他",212
"到 了",209
"你 不",207
"在 这里",206
"在 一",206
"是 个",203
"是 在",200
"的 事情",198
"哈利 和 罗恩",196
"他 把",196
"我 是",195
"一 张",195
"的 大",193
"一 个 人",192
"另 一",190
"这 种",189
"不 可能",189
"的 小",188
"一 阵",187
"它 的",187
"是 吗",186
"有 一 个",186
"在 那里",186
"件 事",185
"你 是",184
"了 出来",184
"三 个",182
"看 了",180
"一 片",180
"佩妮 姨妈",179
"一 家",179
"他 那",178
"他 就",178
"弗雷德 和",178
"一 件",177
"好 吧",173
"你 知道",173
"你 在",173
"我 要",172
"了 哈利",172
"是 这样",171
"这 一",170
"了 他 的",169
"了 吗",169
"都 在",169
"人 的",168
"说 的",168
"克劳奇 先生",168
"都 不",166
"我 知道",166
"飞天 扫帚",165
"一 眼",165
"不 见",164
"好 的",164
"不 敢",164
"在 哈利",163
"的 名字",163
"他 一",162
"不 想",162
"我 就",160
"罗恩 的",160
"有 什么",160
"是 怎么",160
"的 巫师",160
"一 句",159
"带 着",159
"只 有",157
"站 在",157
"对 他",156
"的 目光",156
"你 说",155
"是 谁",155
"了 下来",155
"她 说",154
"了 个",154
"一 道",153
"去 了",151
"虫 尾巴",151
"我 说",151
"很 快",151
"了 什么",150
"过 的",150
"邓布利多 说",150
"来 了",149
"他 和",149
"的 样子",148
"小 精灵",147
"和 乔治",147
"看 不",146
"他 又",146
"做 什么",146
"令 人",146
"给 你",145
"的 一 个",144
"多 的",144
"见 过",144
"这 件",144
"给 他",143
"可 是",142
"地 看",142
"一 根",142
"看见 了",141
"还 在",141
"魔法 部",140
"亲爱 的",139
"如果 你",139
"是 的",137
"说 了",137
"的 话",137
"公共 休息室",137
"是 你",136
"声音 说",136
"海格 的",136
"大 的",136
"在 他们",136
"这样 的",136
"我 在",135
"就 像",135
"我们 的",134
"着 他们",134
"弗雷德 和 乔治",134
"一 口",134
"哈利 在",134
"每 个",134
"了 几",132
"这 件 事",132
"穿 着",131
"也 是",131
"的 脑袋",131
"一 块",130
"口 气",130
"长长 的",129
"地 望",128
"脸 上",128
"所有 的",128
"就 不",128
"的 表情",128
"了 我",128
"卢平 教授",128
"把 我",127
"就 好像",126
"大家 都",125
"那 一",125
"还 没有",125
"他 还",125
"对 哈利",125
"的 学生",124
"给 我",123
"地 望 着",123
"的 头发",123
"没有 人",123
"指 着",123
"把 你",122
"先生 说",122
"还 要",121
"知道 他",121
"我 认为",121
"两 只",121
"哈利 觉得",120
"得 很",119
"哈利 把",119
"他们 在",118
"一 头",118
"他们 都",118
"像 一",118
"笑 了",117
"在 霍格沃茨",117
"什么 东西",117
