Order Number,Item,Pinyin,Frequency
331,使 他,shi3   ta1,102
821,这 使,zhe4   shi3,56
1247,使 哈利,shi3   ha1 li4,41
1555,会 使,hui4   shi3,35
1628,使用 魔法,shi3 yong4   mo2 fa3,34
2003,使 他们,shi3   ta1 men,29
2120,使 自己,shi3   zi4 ji3,27
2361,能 使,neng2   shi3,25
2427,使 你,shi3   ni3,25
3307,这 使 他,zhe4   shi3   ta1,19
3355,使 我,shi3   wo3,19
3745,使 他 的,shi3   ta1   de,18
4392,使劲 地,shi3 jin4   di4,15
4805,使 他 感到,shi3   ta1   gan3 dao4,14
4809,使 她,shi3   ta1,14
4925,使 它,shi3   ta1,14
5745,想 使,xiang3   shi3,13
5752,使 人,shi3   ren2,13
6582,这 使 哈利,zhe4   shi3   ha1 li4,11
6714,即使 在,ji2 shi3   zai4,11
7561,使 自己 的,shi3   zi4 ji3   de,10
8318,使用 魔法 的,shi3 yong4   mo2 fa3   de,9
8608,即使 是,ji2 shi3   shi4,9
8972,哈利 使劲,ha1 li4   shi3 jin4,9
10037,才 使,cai2   shi3,8
11154,能 使 他,neng2   shi3   ta1,7
11248,竭力 使,jie2 li4   shi3,7
11286,使 我们,shi3   wo3 men,7
11297,使用 的,shi3 yong4   de,7
11377,就 使,jiu4   shi3,7
11412,这 使 他们,zhe4   shi3   ta1 men,7
11989,他 使,ta1   shi3,7
11990,他 使劲,ta1   shi3 jin4,7
12698,也 使,ye3   shi3,7
13107,似乎 使,si4 hu1   shi3,6
13669,使 大家,shi3   da4 jia1,6
13677,使 罗恩,shi3   luo2 en1,6
13679,使出 吃奶,shi3 chu1   chi1 nai3,6
13684,使出 吃奶 的 力气,shi3 chu1   chi1 nai3   de   li4 qi4,6
13687,使出 吃奶 的,shi3 chu1   chi1 nai3   de,6
13694,使用 了,shi3 yong4   le,6
14497,使劲 把,shi3 jin4   ba3,6
14535,即使 他,ji2 shi3   ta1,6
14916,可以 使,ke3 yi3   shi3,6
15362,校外 使用 魔法,xiao4 wai4   shi3 yong4   mo2 fa3,6
15363,校外 使用,xiao4 wai4   shi3 yong4,6
15487,没有 使用,mei2 you3   shi3 yong4,6
15960,在 校外 使用,zai4   xiao4 wai4   shi3 yong4,6
15961,在 校外 使用 魔法,zai4   xiao4 wai4   shi3 yong4   mo2 fa3,6
17303,使 他 想起,shi3   ta1   xiang3 qi3,5
17314,使 你们,shi3   ni3 men,5
17318,使 哈利 感到,shi3   ha1 li4   gan3 dao4,5
17319,使 哈利 想起,shi3   ha1 li4   xiang3 qi3,5
17337,使得 他,shi3 de   ta1,5
17338,使劲 眨,shi3 jin4   zha3,5
17341,使用 魔杖,shi3 yong4   mo2 zhang4,5
17656,这 使 他 感到,zhe4   shi3   ta1   gan3 dao4,5
18262,一边 使劲,yi1 bian1   shi3 jin4,5
19185,可以 使用,ke3 yi3   shi3 yong4,5
19960,为了 使,wei4 le   shi3,5
20865,会 使 他,hui4   shi3   ta1,5
