Order Number,Item,Pinyin,Frequency
524,什么 呢,shen2 me   ne,76
1730,怎么办 呢,zen3 me ban4   ne,32
1819,你 呢,ni3   ne,31
1991,的 呢,de   ne,29
2617,说 呢,shuo1   ne,23
2896,了 呢,le   ne,21
3072,着 呢,zhe   ne,21
3110,我 呢,wo3   ne,20
3228,他 呢,ta1   ne,20
3942,是 什么 呢,shi4   shen2 me   ne,17
4892,里 呢,li3   ne,14
4946,去 呢,qu4   ne,14
5389,怎么 说 呢,zen3 me   shuo1   ne,13
5490,做 呢,zuo4   ne,13
5660,人 呢,ren2   ne,13
6075,做 什么 呢,zuo4   shen2 me   ne,12
8538,怎么样 呢,zen3 me yang4   ne,9
8606,谁 呢,shui2   ne,9
9668,事 呢,shi4   ne,8
9785,你 说 呢,ni3   shuo1   ne,8
9881,什么 用 呢,shen2 me   yong4   ne,8
10293,是 谁 呢,shi4   shui2   ne,8
10350,有 什么 用 呢,you3   shen2 me   yong4   ne,8
10584,哪儿 呢,na3 er2   ne,8
10649,用 呢,yong4   ne,8
11299,课 呢,ke4   ne,7
11745,东西 呢,dong1 xi1   ne,7
11907,我们 呢,wo3 men   ne,7
12789,在 做 什么 呢,zai4   zuo4   shen2 me   ne,7
13198,睡觉 呢,shui4 jiao4   ne,6
13219,知道 呢,zhi1 dao4   ne,6
13658,该 怎么办 呢,gai1   zen3 me ban4   ne,6
13713,赫敏 呢,he4 min3   ne,6
13750,起来 呢,qi3 lai2   ne,6
15346,哈利 呢,ha1 li4   ne,6
15437,为什么 呢,wei4 shen2 me   ne,6
15764,的 人 呢,de   ren2   ne,6
16125,会 呢,hui4   ne,6
16127,魔杖 呢,mo2 zhang4   ne,6
16155,会 怎么样 呢,hui4   zen3 me yang4   ne,6
16338,地方 呢,di4 fang1   ne,5
16740,不 是 呢,bu4   shi4   ne,5
16746,级长 呢,ji2 zhang3   ne,5
17309,说 什么 呢,shuo1   shen2 me   ne,5
17743,这儿 呢,zhe4 er2   ne,5
17800,些 什么 呢,xie1   shen2 me   ne,5
17835,关系 呢,guan1 xi4   ne,5
17880,帮助 呢,bang1 zhu4   ne,5
18445,怎么 做 呢,zen3 me   zuo4   ne,5
18526,想 呢,xiang3   ne,5
18545,办公室 呢,ban4 gong1 shi4   ne,5
18746,去 哪儿 呢,qu4   na3 er2   ne,5
19354,时间 呢,shi2 jian1   ne,5
19446,是 呢,shi4   ne,5
20494,的 办公室 呢,de   ban4 gong1 shi4   ne,5
21062,了 什么 呢,le   shen2 me   ne,5
