Order Number,Item,Pinyin,Frequency
318,斯 内,si1   nei4,105
507,斯内普 的,si1 nei4 pu3   de,78
898,斯内普 教授,si1 nei4 pu3   jiao4 shou4,52
1081,内 普,nei4   pu3,46
1307,斯内普 说,si1 nei4 pu3   shuo1,40
1449,斯 内 普,si1   nei4   pu3,37
1881,是 斯内普,shi4   si1 nei4 pu3,30
3763,和 斯内普,he2   si1 nei4 pu3,17
3823,在 斯内普,zai4   si1 nei4 pu3,17
4142,内心 的,nei4 xin1   de,16
4602,斯内普 在,si1 nei4 pu3   zai4,15
4847,了 斯内普,le   si1 nei4 pu3,14
5628,斯内普 和,si1 nei4 pu3   he2,13
6081,他 内心,ta1   nei4 xin1,12
6843,斯 内普,si1   nei4 pu3,11
6845,斯内普 把,si1 nei4 pu3   ba3,11
7063,的 内容,de   nei4 rong2,11
7236,着 斯内普,zhe   si1 nei4 pu3,10
7504,让 斯内普,rang4   si1 nei4 pu3,10
8045,在 斯内普 的,zai4   si1 nei4 pu3   de,10
8830,斯内普 又,si1 nei4 pu3   you4,9
9189,的 内心,de   nei4 xin1,9
9474,知道 斯内普,zhi1 dao4   si1 nei4 pu3,8
10179,可是 斯内普,ke3 shi4   si1 nei4 pu3,8
10206,斯内普 也,si1 nei4 pu3   ye3,8
10990,但 斯内普,dan4   si1 nei4 pu3,7
11494,内 普 的,nei4   pu3   de,7
12162,斯内普 对,si1 nei4 pu3   dui4,7
12164,斯内普冷冷 地,si1 nei4 pu3 leng3 leng3   di4,7
13273,秒钟 内,miao3 zhong1   nei4,6
13497,了 斯内普 的,le   si1 nei4 pu3   de,6
13555,如果 斯内普,ru2 guo3   si1 nei4 pu3,6
14048,内 普 的 办公室,nei4   pu3   de   ban4 gong1 shi4,6
14996,斯内普 不,si1 nei4 pu3   bu4,6
15000,斯内普冷冷 地 说,si1 nei4 pu3 leng3 leng3   di4   shuo1,6
15798,的 内脏,de   nei4 zang4,6
15943,的 斯内普,de   si1 nei4 pu3,6
16347,场内 医生,chang3 nei4   yi1 sheng1,5
17371,对 斯内普,dui4   si1 nei4 pu3,5
17898,内 普用,nei4   pu3 yong4,5
19296,斯 内 普用,si1   nei4   pu3 yong4,5
19297,斯内普 的 声音,si1 nei4 pu3   de   sheng1 yin1,5
19298,斯内普 突然,si1 nei4 pu3   tu1 ran2,5
19299,斯内普 的 目光,si1 nei4 pu3   de   mu4 guang1,5
19300,斯内普 的 办公室,si1 nei4 pu3   de   ban4 gong1 shi4,5
19301,斯内普 就,si1 nei4 pu3   jiu4,5
19501,是 斯内普 教授,shi4   si1 nei4 pu3   jiao4 shou4,5
