Order Number,Item,Pinyin,Frequency
1344,小心 地,xiao3 xin1   di4,39
1674,小心翼翼 地,xiao3 xin1 yi4 yi4   di4,33
1719,的 心,de   xin1,32
1835,开心 地,kai1 xin1   di4,31
2557,不 小心,bu4   xiao3 xin1,24
2696,的 心情,de   xin1 qing2,23
4046,的 心脏,de   xin1 zang4,17
4078,哈利 心想,ha1 li4   xin1 xiang3,16
4142,内心 的,nei4 xin1   de,16
4155,人 恶心,ren2   e3 xin1,16
4170,漫不经心 地,man4 bu4 jing1 xin1   di4,16
4229,担心 的,dan1 xin1   de,16
4297,哈利 的 心,ha1 li4   de   xin1,16
4657,他 心里,ta1   xin1 li3,15
5380,别 担心,bie2   dan1 xin1,13
5392,恶心 的,e3 xin1   de,13
5626,哈利 心里,ha1 li4   xin1 li3,13
5740,令 人 恶心,ling4   ren2   e3 xin1,13
5854,他 的 心,ta1   de   xin1,12
6037,人 恶心 的,ren2   e3 xin1   de,12
6081,他 内心,ta1   nei4 xin1,12
6541,很 开心,hen3   kai1 xin1,11
6656,心 里,xin1   li3,11
7470,要 担心,yao4   dan1 xin1,10
7735,不 要 担心,bu4   yao4   dan1 xin1,10
7933,开心 地 说,kai1 xin1   di4   shuo1,10
7987,的 中心,de   zhong1 xin1,10
8047,令 人 恶心 的,ling4   ren2   e3 xin1   de,10
8463,不 用 担心,bu4   yong4   dan1 xin1,9
8749,小心 把,xiao3 xin1   ba3,9
9144,用 担心,yong4   dan1 xin1,9
9189,的 内心,de   nei4 xin1,9
9337,不 小心 把,bu4   xiao3 xin1   ba3,9
9858,心不在焉 地,xin1 bu4 zai4 yan1   di4,8
10111,担心 了,dan1 xin1   le,8
10516,没有 心思,mei2 you3   xin1 si1,8
10642,钻心 的,zuan1 xin1   de,8
10768,在 心,zai4   xin1,8
10980,不 开心,bu4   kai1 xin1,7
11608,随心所欲 地,sui2 xin1 suo3 yu4   di4,7
11714,专心 地,zhuan1 xin1   di4,7
11746,一心 只,yi1 xin1   zhi3,7
12041,小心 点儿,xiao3 xin1   dian3 er2,7
12055,担心 地,dan1 xin1   di4,7
12430,他 的 心脏,ta1   de   xin1 zang4,7
12799,不 关心,bu4   guan1 xin1,7
14006,关心 他,guan1 xin1   ta1,6
14121,开心 了,kai1 xin1   le,6
14126,开心 的,kai1 xin1   de,6
14161,钻心 咒,zuan1 xin1   zhou4,6
14369,心平气和 地,xin1 ping2 qi4 he2   di4,6
14371,心爱 的,xin1 ai4   de,6
14372,心情 沉重,xin1 qing2   chen2 zhong4,6
14373,心里 很,xin1 li3   hen3,6
14556,我 担心,wo3   dan1 xin1,6
15304,他 的 心情,ta1   de   xin1 qing2,6
15383,哈利 开心,ha1 li4   kai1 xin1,6
15582,开心 地 笑,kai1 xin1   di4   xiao4,6
15916,的 心思,de   xin1 si1,6
16244,心 猛地,xin1   meng3 di4,6
17306,一心 只 想,yi1 xin1   zhi3   xiang3,5
17384,赫敏 小心翼翼 地,he4 min3   xiao3 xin1 yi4 yi4   di4,5
17385,赫敏 小心翼翼,he4 min3   xiao3 xin1 yi4 yi4,5
17512,小心 地 把,xiao3 xin1   di4   ba3,5
17836,关心 你,guan1 xin1   ni3,5
18035,开心 极 了,kai1 xin1   ji2   le,5
18040,开心 极,kai1 xin1   ji2,5
18104,钻心 剜骨,zuan1 xin1   wan1 gu3,5
18389,心 突然,xin1   tu1 ran2,5
18392,心急火燎 地,xin1 ji2 huo3 liao3   di4,5
18394,心目 中 的,xin1 mu4   zhong1   de,5
18395,心目 中,xin1 mu4   zhong1,5
18403,心里 一,xin1 li3   yi1,5
18410,忧心忡忡 地,you1 xin1 chong1 chong1   di4,5
18584,感到 心里,gan3 dao4   xin1 li3,5
19239,他 小心翼翼 地,ta1   xiao3 xin1 yi4 yi4   di4,5
19240,他 小心翼翼,ta1   xiao3 xin1 yi4 yi4,5
19642,最 担心 的,zui4   dan1 xin1   de,5
19645,最 担心,zui4   dan1 xin1,5
19898,哈利 小心翼翼 地,ha1 li4   xiao3 xin1 yi4 yi4   di4,5
19899,哈利 小心翼翼,ha1 li4   xiao3 xin1 yi4 yi4,5
20487,的 决心,de   jue2 xin1,5
20644,在 担心,zai4   dan1 xin1,5
21055,伤心 地,shang1 xin1   di4,5
