Order Number,Item,Pinyin,Frequency
2,他 的,ta1   de,1857
31,着 他,zhe   ta1,425
38,他 说,ta1   shuo1,399
40,了 他,le   ta1,394
49,把 他,ba3   ta1,356
52,在 他,zai4   ta1,348
58,他们 的,ta1 men   de,323
65,他 在,ta1   zai4,289
73,他 不,ta1   bu4,270
89,是 他,shi4   ta1,227
94,他 是,ta1   shi4,220
104,但 他,dan4   ta1,212
113,他 把,ta1   ba3,196
135,他 那,ta1   na4,178
136,他 就,ta1   jiu4,178
146,了 他 的,le   ta1   de,169
161,他 一,ta1   yi1,162
172,对 他,dui4   ta1,156
188,他 和,ta1   he2,149
193,他 又,ta1   you4,146
201,给 他,gei3   ta1,143
218,在 他们,zai4   ta1 men,136
223,着 他们,zhe   ta1 men,134
248,他 还,ta1   hai2,125
259,知道 他,zhi1 dao4   ta1,121
265,他们 在,ta1 men   zai4,118
267,他们 都,ta1 men   dou1,118
272,他们 俩,ta1 men   lia3,116
284,他 没有,ta1   mei2 you3,113
287,说 他,shuo1   ta1,113
290,着 他 的,zhe   ta1   de,112
296,让 他,rang4   ta1,110
308,他 对,ta1   dui4,108
321,从 他,cong2   ta1,104
331,使 他,shi3   ta1,102
332,因为 他,yin1 wei4   ta1,102
338,朝 他,chao2   ta1,101
354,他 想,ta1   xiang3,98
380,和 他,he2   ta1,93
381,了 他们,le   ta1 men,92
400,跟 他,gen1   ta1,89
416,其他 人,qi2 ta1   ren2,87
429,他 从,ta1   cong2,85
431,如果 他,ru2 guo3   ta1,85
446,他 觉得,ta1   jue2 de,84
457,把 他们,ba3   ta1 men,82
469,他 会,ta1   hui4,81
472,他 自己,ta1   zi4 ji3,81
487,他 也,ta1   ye3,79
488,告诉 他,gao4 su4   ta1,79
500,他 用,ta1   yong4,78
504,他 知道,ta1   zhi1 dao4,78
508,当 他,dang1   ta1,78
519,他 要,ta1   yao4,76
537,他 看见,ta1   kan4 jian4,75
543,他 已经,ta1   yi3 jing1,73
561,在 他 的,zai4   ta1   de,72
563,看见 他,kan4 jian4   ta1,72
574,望 着 他,wang4   zhe   ta1,71
582,他们 就,ta1 men   jiu4,70
586,他们 不,ta1 men   bu4,70
650,让 他们,rang4   ta1 men,64
673,然后 他,ran2 hou4   ta1,63
681,把 他 的,ba3   ta1   de,62
692,朝 他们,chao2   ta1 men,62
721,看 着 他,kan4   zhe   ta1,60
732,向 他,xiang4   ta1,60
734,他们 是,ta1 men   shi4,60
738,当 他们,dang1   ta1 men,59
768,他 突然,ta1   tu1 ran2,58
773,他 感到,ta1   gan3 dao4,58
796,他 听见,ta1   ting1 jian4,57
801,给 他们,gei3   ta1 men,57
810,到 他,dao4   ta1,56
838,向 他们,xiang4   ta1 men,55
847,他 看,ta1   kan4,54
870,他 问,ta1   wen4,53
875,过 他,guo4   ta1,53
884,认为 他,ren4 wei2   ta1,53
910,他 为什么,ta1   wei4 shen2 me,52
932,他 很,ta1   hen3,51
944,他 的 魔杖,ta1   de   mo2 zhang4,51
964,是 他们,shi4   ta1 men,50
967,他 可以,ta1   ke3 yi3,50
979,他 能,ta1   neng2,50
1021,他 似乎,ta1   si4 hu1,48
1024,他 的 声音,ta1   de   sheng1 yin1,48
1026,对 他们,dui4   ta1 men,48
1034,他们 说,ta1 men   shuo1,48
1055,是 他 的,shi4   ta1   de,47
1064,他们 会,ta1 men   hui4,47
1068,看 他,kan4   ta1,47
1072,他 手,ta1   shou3,47
1084,他们 还,ta1 men   hai2,46
1121,他 最,ta1   zui4,45
1125,他 了,ta1   le,45
1160,他 怎么,ta1   zen3 me,44
1189,他 现在,ta1   xian4 zai4,43
1191,他们 三,ta1 men   san1,43
1216,跟 他们,gen1   ta1 men,42
1225,他 只,ta1   zhi3,42
1228,他 身边,ta1   shen1 bian1,42
1242,的 其他,de   qi2 ta1,42
1246,他 必须,ta1   bi4 xu1,41
1251,他们 把,ta1 men   ba3,41
1252,比 他,bi3   ta1,41
1260,可是 他,ke3 shi4   ta1,41
1291,他 有,ta1   you3,40
1319,如果 他们,ru2 guo3   ta1 men,40
1347,从 他们,cong2   ta1 men,39
