Order Number,Item,Pinyin,Frequency
54,我 想,wo3   xiang3,345
162,不 想,bu4   xiang3,162
354,他 想,ta1   xiang3,98
448,想 把,xiang3   ba3,84
548,想 让,xiang3   rang4,73
751,没 想到,mei2   xiang3 dao4,59
887,是 想,shi4   xiang3,53
916,想 知道,xiang3   zhi1 dao4,52
933,想 着,xiang3   zhe,51
954,你 想,ni3   xiang3,51
1176,想 不,xiang3   bu4,44
1234,哈利 想,ha1 li4   xiang3,42
1288,想起 了,xiang3 qi3   le,41
1366,只 想,zhi3   xiang3,39
1517,不 想 让,bu4   xiang3   rang4,36
1552,地 想,di4   xiang3,35
1659,真 想,zhen1   xiang3,33
1749,想 去,xiang3   qu4,32
1827,想 跟,xiang3   gen1,31
2065,在 想,zai4   xiang3,28
2137,想 要,xiang3   yao4,27
2200,想 你,xiang3   ni3,27
2207,我 不 想,wo3   bu4   xiang3,27
2365,想 的,xiang3   de,25
2421,想 看看,xiang3   kan4 kan4,25
2447,我 想 你,wo3   xiang3   ni3,24
2535,我 想 我们,wo3   xiang3   wo3 men,24
2544,想 我们,xiang3   wo3 men,24
2798,还 想,hai2   xiang3,22
2824,我们 想,wo3 men   xiang3,22
2841,想 再,xiang3   zai4,22
2888,他 想起,ta1   xiang3 qi3,21
3068,的 想法,de   xiang3 fa3,21
3076,想 起来,xiang3   qi3 lai2,21
3103,的 思想,de   si1 xiang3,20
3173,去 想,qu4   xiang3,20
3183,拼命 想,pin1 ming4   xiang3,20
3202,想 我,xiang3   wo3,20
3211,我 想 我,wo3   xiang3   wo3,20
3287,想 干,xiang3   gan4,19
3341,想 给,xiang3   gei3,19
3375,也 想,ye3   xiang3,19
3400,一直 想,yi4 zhi2   xiang3,19
3473,哈利 想起,ha1 li4   xiang3 qi3,19
3597,哈利 猜想,ha1 li4   cai1 xiang3,18
3884,想 办法,xiang3   ban4 fa3,17
3885,想 告诉,xiang3   gao4 su4,17
3891,没有 想到,mei2 you3   xiang3 dao4,17
3931,想 做,xiang3   zuo4,17
4033,想 过,xiang3   guo4,17
4072,也 不 想,ye3   bu4   xiang3,16
4078,哈利 心想,ha1 li4   xin1 xiang3,16
4124,很 想,hen3   xiang3,16
4157,想 干 什么,xiang3   gan4   shen2 me,16
4178,想 说,xiang3   shuo1,16
4205,又 想,you4   xiang3,16
4257,这么 想,zhe4 me   xiang3,16
4299,都 想,dou1   xiang3,16
4475,他 不 想,ta1   bu4   xiang3,15
4488,一 想,yi1   xiang3,15
4498,冥想 盆,ming2 xiang3   pen2,15
4519,想 得,xiang3   de2,15
4540,我 猜想,wo3   cai1 xiang3,15
4684,他们 想,ta1 men   xiang3,15
4705,想 一,xiang3   yi1,15
4709,想 他,xiang3   ta1,15
4719,想象 一下,xiang3 xiang4   yi1 xia4,15
4752,一 想到,yi1   xiang3 dao4,14
4901,让 我 想想,rang4   wo3   xiang3 xiang3,14
4916,想 把 它,xiang3   ba3   ta1,14
4922,想 问,xiang3   wen4,14
4934,想 这,xiang3   zhe4,14
4944,我 想想,wo3   xiang3 xiang3,14
5212,不 想 再,bu4   xiang3   zai4,13
5334,没 想,mei2   xiang3,13
5379,别 想,bie2   xiang3,13
5397,想 不 出,xiang3   bu4   chu1,13
5401,想到 了,xiang3 dao4   le,13
5402,想到 他,xiang3 dao4   ta1,13
5403,想想 吧,xiang3 xiang3   ba,13
5434,我 想 是,wo3   xiang3   shi4,13
5512,只是 想,zhi3 shi4   xiang3,13
5577,想 是,xiang3   shi4,13
5689,他 想起 了,ta1   xiang3 qi3   le,13
5745,想 使,xiang3   shi3,13
5962,如果 你 想,ru2 guo3   ni3   xiang3,12
5997,想 从,xiang3   cong2,12
6040,我 真 想,wo3   zhen1   xiang3,12
6309,怎么 想,zen3 me   xiang3,12
6531,突然 想起,tu1 ran2   xiang3 qi3,11
6684,想 了,xiang3   le,11
6686,想 看,xiang3   kan4,11
7093,集中 思想,ji2 zhong1   si1 xiang3,11
7254,但 我 想,dan4   wo3   xiang3,10
7466,要 想,yao4   xiang3,10
7528,想 你们,xiang3   ni3 men,10
7531,想 找,xiang3   zhao3,10
7532,想 用,xiang3   yong4,10
7534,想 起来 了,xiang3   qi3 lai2   le,10
7536,想 问问,xiang3   wen4 wen4,10
7539,想到 这,xiang3 dao4   zhe4,10
7541,想到 这里,xiang3 dao4   zhe4 li3,10
7548,努力 想,nu3 li4   xiang3,10
7581,我 想 他,wo3   xiang3   ta1,10
7583,我 想 你们,wo3   xiang3   ni3 men,10
7585,我 想 知道,wo3   xiang3   zhi1 dao4,10
7604,人 想,ren2   xiang3,10
7780,可以 想象,ke3 yi3   xiang3 xiang4,10
