Order Number,Item,Pinyin,Frequency
67,是 什么,shi4   shen2 me,282
165,有 什么,you3   shen2 me,160
166,是 怎么,shi4   zen3 me,160
184,了 什么,le   shen2 me,150
194,做 什么,zuo4   shen2 me,146
271,什么 东西,shen2 me   dong1 xi1,117
277,什么 也,shen2 me   ye3,115
312,怎么 回,zen3 me   hui2,106
320,怎么 回 事,zen3 me   hui2   shi4,104
324,说 什么,shuo1   shen2 me,104
347,这么 说,zhe4 me   shuo1,99
405,你 怎么,ni3   zen3 me,88
440,这么 做,zhe4 me   zuo4,84
486,干 什么,gan4   shen2 me,79
522,什么 地方,shen2 me   di4 fang1,76
524,什么 呢,shen2 me   ne,76
555,什么 事,shen2 me   shi4,72
689,着 什么,zhe   shen2 me,62
709,为什么 要,wei4 shen2 me   yao4,61
711,为什么 不,wei4 shen2 me   bu4,61
769,没 什么,mei2   shen2 me,58
816,怎么 啦,zen3 me   la,56
817,那么 多,na4 me   duo1,56
823,是 怎么 回,shi4   zen3 me   hui2,56
839,是 怎么 回 事,shi4   zen3 me   hui2   shi4,55
840,怎么 说,zen3 me   shuo1,55
861,什么 意思,shen2 me   yi4 si,54
910,他 为什么,ta1   wei4 shen2 me,52
947,这么 多,zhe4 me   duo1,51
972,什么 的,shen2 me   de,50
1012,是 什么 意思,shi4   shen2 me   yi4 si,49
1042,什么 都,shen2 me   dou1,48
1079,你 为什么,ni3   wei4 shen2 me,46
1088,在 做 什么,zai4   zuo4   shen2 me,46
1132,怎么 会,zen3 me   hui4,45
1160,他 怎么,ta1   zen3 me,44
1255,些 什么,xie1   shen2 me,41
1306,这 是 什么,zhe4   shi4   shen2 me,40
1311,在 什么,zai4   shen2 me,40
1447,怎么 可能,zen3 me   ke3 neng2,37
1454,没有 什么,mei2 you3   shen2 me,37
1466,什么 人,shen2 me   ren2,37
1551,怎么 做,zen3 me   zuo4,35
1554,怎么 知道,zen3 me   zhi1 dao4,35
1611,在 什么 地方,zai4   shen2 me   di4 fang1,34
1730,怎么办 呢,zen3 me ban4   ne,32
1754,那 是 什么,na4   shi4   shen2 me,32
1774,在 说 什么,zai4   shuo1   shen2 me,31
1788,那么 大,na4 me   da4,31
1829,什么 也 没有,shen2 me   ye3   mei2 you3,31
1848,了 什么 事,le   shen2 me   shi4,30
1899,怎么 能,zen3 me   neng2,30
1921,的 什么,de   shen2 me,29
1925,什么 时候,shen2 me   shi2 hou4,29
1988,什么 也 没,shen2 me   ye3   mei2,29
2123,什么 也 不,shen2 me   ye3   bu4,27
2165,是 这么,shi4   zhe4 me,27
2288,是 多么,shi4   duo1 me,26
2357,出 了 什么,chu1   le   shen2 me,25
2394,他 什么,ta1   shen2 me,25
2431,什么 事情,shen2 me   shi4 qing2,24
2435,我 什么,wo3   shen2 me,24
2532,发生 了 什么,fa1 sheng1   le   shen2 me,24
2609,什么 用,shen2 me   yong4,23
