Order Number,Item,Pinyin,Frequency
84,的 事,de   shi4,242
111,的 事情,de   shi4 qing2,198
127,件 事,jian4   shi4,185
229,这 件 事,zhe4   jian4   shi4,132
274,回 事,hui2   shi4,115
320,怎么 回 事,zen3 me   hui2   shi4,104
414,没 事,mei2   shi4,87
555,什么 事,shen2 me   shi4,72
839,是 怎么 回 事,shi4   zen3 me   hui2   shi4,55
1268,事 吧,shi4   ba,41
1528,事 了,shi4   le,36
1793,没 事 吧,mei2   shi4   ba,31
1848,了 什么 事,le   shen2 me   shi4,30
2061,做 的 事情,zuo4   de   shi4 qing2,28
2139,你 没 事,ni3   mei2   shi4,27
2144,发生 的 事情,fa1 sheng1   de   shi4 qing2,27
2253,你 没 事 吧,ni3   mei2   shi4   ba,26
2431,什么 事情,shen2 me   shi4 qing2,24
2780,一 件 事,yi1   jian4   shi4,22
3345,把 事情,ba3   shi4 qing2,19
3381,的 故事,de   gu4 shi4,19
3407,攻击 事件,gong1 ji1   shi4 jian4,19
3417,事 的,shi4   de,19
3599,没 事儿,mei2   shi4 er2,18
3859,有 事,you3   shi4,17
4197,出 了 什么 事,chu1   le   shen2 me   shi4,16
4614,事情 都,shi4 qing2   dou1,15
4725,会 有 事,hui4   you3   shi4,15
4732,这样 的 事,zhe4 yang4   de   shi4,15
4969,不 会 有 事,bu4   hui4   you3   shi4,14
4975,发生 了 什么 事,fa1 sheng1   le   shen2 me   shi4,14
5015,的 事儿,de   shi4 er2,14
5016,事 吗,shi4   ma,14
5020,事 告诉,shi4   gao4 su4,14
5026,事 啦,shi4   la,14
5302,一些 事情,yi1 xie1   shi4 qing2,13
5315,事情 发生,shi4 qing2   fa1 sheng1,13
5452,把 这 件 事,ba3   zhe4   jian4   shi4,13
5524,可怕 的 事情,ke3 pa4   de   shi4 qing2,13
5558,事情 要,shi4 qing2   yao4,13
5564,是 怎么回事,shi4   zen3 me hui2 shi4,13
5728,出 什么 事,chu1   shen2 me   shi4,13
5923,事 我,shi4   wo3,12
6218,那 件 事,na4   jian4   shi4,12
6250,事 都,shi4   dou1,12
6254,没 事 啦,mei2   shi4   la,12
6375,出 什么 事 了,chu1   shen2 me   shi4   le,12
6427,什么 事 了,shen2 me   shi4   le,12
6575,事 也,shi4   ye3,11
6710,了 这 件 事,le   zhe4   jian4   shi4,11
6774,不 会 有 事 的,bu4   hui4   you3   shi4   de,11
6909,有 事 的,you3   shi4   de,11
7051,的 事 告诉,de   shi4   gao4 su4,11
7122,件 事情,jian4   shi4 qing2,11
7173,会 有 事 的,hui4   you3   shi4   de,11
7389,事情 就,shi4 qing2   jiu4,10
8078,任何 事情,ren4 he2   shi4 qing2,10
8257,种 事情,zhong3   shi4 qing2,9
8387,事情 告诉,shi4 qing2   gao4 su4,9
8560,到底 是 怎么 回 事,dao4 di3   shi4   zen3 me   hui2   shi4,9
9017,事 要,shi4   yao4,9
9040,没 事 了,mei2   shi4   le,9
9176,的 事 了,de   shi4   le,9
9184,事情 的,shi4 qing2   de,9
9538,要 做 的 事情,yao4   zuo4   de   shi4 qing2,8
9668,事 呢,shi4   ne,8
9682,这 事,zhe4   shi4,8
9683,这 事儿,zhe4   shi4 er2,8
10827,件 事 我,jian4   shi4   wo3,8
11175,种 事,zhong3   shi4,7
11269,许多 事情,xu3 duo1   shi4 qing2,7
11293,管 闲事,guan3   xian2 shi4,7
11772,意外 事故,yi4 wai4   shi4 gu4,7
11982,发生 的 事,fa1 sheng1   de   shi4,7
12189,事儿 吧,shi4 er2   ba,7
12200,事情 上,shi4 qing2   shang4,7
12268,这 种 事情,zhe4   zhong3   shi4 qing2,7
12358,他 没 事,ta1   mei2   shi4,7
12656,煞有介事 地,sha4 you3 jie4 shi4   di4,7
12704,重要 的 事情,zhong4 yao4   de   shi4 qing2,7
12751,的 事情 都,de   shi4 qing2   dou1,7
13838,事 不,shi4   bu4,6
13930,这么 回 事,zhe4 me   hui2   shi4,6
13941,这些 事情,zhe4 xie1   shi4 qing2,6
14353,什么 事 也,shen2 me   shi4   ye3,6
14358,什么 事儿,shen2 me   shi4 er2,6
14604,对 这 件 事,dui4   zhe4   jian4   shi4,6
14657,他 不 会 有 事,ta1   bu4   hui4   you3   shi4,6
14659,他 不 会 有 事 的,ta1   bu4   hui4   you3   shi4   de,6
14673,个 事实,ge4   shi4 shi2,6
14748,发生 这样 的 事,fa1 sheng1   zhe4 yang4   de   shi4,6
14804,做 的 事,zuo4   de   shi4,6
15008,个 故事,ge4   gu4 shi4,6
15245,有 件 事,you3   jian4   shi4,6
15470,没 事儿 吧,mei2   shi4 er2   ba,6
15753,的 事 吗,de   shi4   ma,6
15756,的 事实,de   shi4 shi2,6
15757,的 事情 告诉,de   shi4 qing2   gao4 su4,6
15758,的 事情 上,de   shi4 qing2   shang4,6
15760,的 事故,de   shi4 gu4,6
15912,的 往事,de   wang3 shi4,6
16007,件 事 都,jian4   shi4   dou1,6
16232,了 什么 事情,le   shen2 me   shi4 qing2,6
16472,知道 是 怎么 回 事,zhi1 dao4   shi4   zen3 me   hui2   shi4,5
16583,究竟 是 怎么 回 事,jiu1 jing4   shi4   zen3 me   hui2   shi4,5
16842,奇怪 的 事,qi2 guai4   de   shi4,5
17215,觉得 这 件 事,jue2 de   zhe4   jian4   shi4,5
17246,一 件 事情,yi1   jian4   shi4 qing2,5
17457,起 攻击 事件,qi3   gong1 ji1   shi4 jian4,5
17607,事 你,shi4   ni3,5
17631,事 呀,shi4   ya,5
17650,这 个 故事,zhe4   ge4   gu4 shi4,5
17653,事情 原原本本 地,shi4 qing2   yuan2 yuan2 ben3 ben3   di4,5
17654,这 件 事 非常,zhe4   jian4   shi4   fei1 chang2,5
17657,事情 吧,shi4 qing2   ba,5
17658,事情 原原本本,shi4 qing2   yuan2 yuan2 ben3 ben3,5
17659,事 非常,shi4   fei1 chang2,5
17670,事情 是,shi4 qing2   shi4,5
17671,事情 已经,shi4 qing2   yi3 jing1,5
17698,这 是 怎么 回 事,zhe4   shi4   zen3 me   hui2   shi4,5
17740,这些 事,zhe4 xie1   shi4,5
17909,那些 事情,na4 xie1   shi4 qing2,5
