Item,Frequency
"고개를 끄덕였다",57
"수 없었다",57
"할 수",57
"것 같았다",47
"두 사람은",41
"더 이상",38
"하지 않았다",34
"수 있었다",34
"수 있는",34
"신 목사가",34
"두 사람이",32
"한 번도",27
"아무 말도",26
"유 목사가",24
"수 없는",23
"적이 없었다",23
"선자가 말했다",22
"알 수",22
"있 었다",22
"이삭이 말했다",20
"선자가 고개를",20
"말도 하지",20
"아무 말도 하지",20
"수 있을",19
"신 목사는",19
"고개를 저었다",19
"있었 다",19
"전당포 주인이",18
"두 사람",17
"소리 내어",17
"말도 하지 않았다",16
"전 씨가",16
"두 사람을",16
"유 목사는",16
"아무 말도 하지 않았다",16
"한수가 선자의",15
"않았 다",15
"숙여 인사했다",14
"수 있어",14
"안 돼",14
"해야 할지",14
"나이 든",13
"훈이 어머니는",13
"선자는 한수가",13
"할 수 없었다",13
"어렸을 때",13
"수 없어",13
"다음 날",13
"살 수",13
"소리 내어 웃었다",12
"년 전에",12
"한수가 선자를",12
"두 손으로",12
"선자는 한수의",12
"내어 웃었다",12
"구할 수",12
"말했 다",12
"선자가 고개를 끄덕였다",12
"안 되는",12
"조 씨가",12
"웃으며 말했다",12
"무슨 일이",11
"싶어 하는",11
"두 손을",11
"이삭이 물었다",11
"알고 있었다",11
"두 사람의",11
"수 있어요",11
"말 했다",11
"신경 쓰지",11
"갈 수",11
"경희가 말했다",11
"그 사람이",11
"할 수 있는",11
"미소 지었다",10
"수 있다고",10
"수 없을",10
"수 있다면",10
"알 수 없었다",10
"선자가 물었다",10
"요셉이 말했다",10
"될 수",10
"수 있",10
"무슨 말을",9
"없었 다",9
"수 있게",9
"고개를 숙여",9
"둘 다",9
"서 있는",9
"선자 는",9
"싶지 않았다",9
"먹을 수",9
"그 사람은",9
"볼 수",9
"않을 거야",9
"한수는 선자의",8
"이런 말을",8
"함께 있는",8
"서 있었다",8
"할지 몰랐다",8
"있는 것",8
"선 자는",8
"고개를 숙여 인사했다",8
"될 거야",8
"수는 없었다",8
"말을 하지",8
"쓰지 않았다",8
"추 씨가",8
"그렇게 되면",8
"표정을 지었다",8
"앉아 있었다",8
"목소리로 말했다",8
"하루 종일",8
"양진이 말했다",8
"어떻게 해야",8
"없 었다",8
"두 분이",8
"않기를 바랐다",8
"오늘 밤에",8
"웃음을 지었다",8
"보이지 않았다",8
"이 일을",8
"경희가 고개를",8
"한수 는",7
"깜짝 놀랐다",7
"세 번째",7
"한 손을",7
"고개 숙여",7
"거 야",7
"남아 있었다",7
"돈을 벌",7
"수 있도록",7
"많은 돈을",7
"있을 때",7
"일을 하고",7
"있을 것",7
"그렇 게",7
"짙은 색",7
"먹고 나서",7
"팔 수",7
"두 개를",7
"않 았다",7
"하지 않을",7
"양진이 고개를",7
"무릎을 꿇고",7
"어쩔 수",7
"몇 주",7
"무슨 말인지",7
"한수가 말했다",7
"더 많이",7
"할 거야",7
"더 잘",7
"이 말을",7
"경희가 물었다",7
"빙긋이 웃었다",7
"한 번",7
"입고 있었다",6
"되지 않았다",6
"잘 알고",6
"적이 한",6
"선자 가",6
"그런 일이",6
"조금 더",6
"조 씨는",6
"큰 남자가",6
"선자는 고개를",6
"선자는 두",6
"선자는 아무",6
"한 달",6
"한 명이",6
"한수가 물었다",6
"손을 잡고",6
"있 어",6
"날 아침",6
"할지 알",6
"있는 것을",6
"해야 할지 몰랐다",6
"있다는 것을",6
"떠나기 전에",6
"고개를 들었다",6
"수 있을 것",6
"것이 분명했다",6
"수가 없었다",6
"말도 안",6
"내일 아침에",6
"전 씨는",6
"신경 쓰지 않았다",6
"적이 한 번도",6
"선자 씨가",6
"고개를 숙였다",6
"아 주",6
"조심해야 해",6
"큰 소리로",6
"몇 년",6
"하고 있는",6
"하고 싶지",6
"선자는 아무 말도",6
"안 된다고",6
"나지막한 목소리로",6
"하지 않는",6
"그 남자가",6
"두 남자가",6
"않을 거예요",6
"모자수가 말했다",6
"그 사람",6
"다른 사람들이",6
"다음 날 아침",6
"오사카에 있는",6
"오늘 아침에",6
"빙긋 웃었다",6
"이삭은 자신이",6
"했을 때",6
"사 람이",6
"사실을 알고",6
"이야기를 하는",5
"이해할 수",5
"새로 온",5
"있 는",5
"읽을 줄",5
"돌아갈 수",5
"선 자가",5
"석탄 배달부의",5
"있는 동안",5
"선 자의",5
"될 거",5
"그런 말을",5
"그 어느",5
"전당포 주인의",5
"선자 씨",5
"될 거예요",5
"전쟁이 끝나면",5
"정씨 형제가",5
"선자 씨는",5
"조용히 말했다",5
"될 수도",5
"고개 를",5
"경희와 선자는",5
"주 동안",5
"키 큰",5
"선자는 그",5
"하고 있었다",5
"하고 싶었다",5
"하지 않",5
"하지 않고",5
"선자는 이삭의",5
"선자는 이",5
"두 눈을",5
"한 명도",5
"한 번도 없었다",5
"선자를 향해",5
"한수가 고개를",5
"한 입",5
"소리를 냈다",5
"두 사람에게",5
"두 개가",5
"것 같은데",5
"할 거",5
"할 수는",5
"한수는 선자가",5
"있는 것 같았다",5
"호지 상은",5
"할 수도",5
"수 없어서",5
"활짝 웃었다",5
"수 있다는",5
"등을 토닥거렸다",5
"남자가 말했다",5
"수 있을지",5
"수 있을까요",5
"수밖에 없었다",5
"수 있을까",5
"숨을 깊게",5
"말을 멈췄다",5
"싶은 마음이",5
"말을 해야",5
"노 아는",5
"년 넘게",5
"것을 알았다",5
"가죽 구두를",5
"말할 수",5
"말을 해야 할지",5
"아무 잘못도",5
"아무도 없었다",5
"아주 어렸을",5
"맛있는 김치",5
"누워 있는",5
"놓여 있었다",5
"안 되고",5
"아주 잘",5
"안 된데이",5
"안 될",5
"앉아 있는",5
"몇 달",5
"눈을 감았다",5
"눈을 감고",5
"게 더",5
"않는 듯했다",5
"모든 것이",5
"모른 채",5
"다른 사람",5
"알게 될",5
"알게 됐다",5
"어떻게 해야 할지",5
"못 할",5
"눈을 뜨고",5
"거의 없었다",5
"어릴 때",5
"무슨 말을 해야 할지",5
"무슨 말을 해야",5
"열심히 일하는",5
"여자와 함께",5
"여러 번",5
"달 동안",5
"옆에 있는",5
"요셉이 집에",5
"울 어머니가",5
"밥을 먹고",5
"바닥에 앉아",5
"밑에서 일하는",5
"그 사람들이",5
"이 남자가",5
"벌 수",5
"번도 없었다",5
"이 삭은",5
"더 큰",5
"이런 일이",5
"이삭은 선자의",5
"이런 일을",5
"이삭이 고개를",5
"이삭의 얼굴을",5
"이삭이 눈을",5
"돈을 더",5
"돈 을",5
"그 사람을",5
"것 같아요",5
"가지고 있었다",5
"가는 것을",5
