Order Number,Definition,Part_of_Speech,Correct_Character,Correct_Pinyin,Frequency,Usage,Choice_A_Char,Choice_A_Pinyin,Choice_B_Char,Choice_B_Pinyin,Choice_C_Char,Choice_C_Pinyin,Choice_D_Char,Choice_D_Pinyin,Choice_E_Char,Choice_E_Pinyin,Correct_Choice
1,"Possessive particle that shows ownership or describes a relationship between nouns, similar to 's or 'of' in English. Also used to mark adjectives modifying nouns.",particle,的,de,3678,"Used in phrases like 我的书 (my book), 红的花 (red flowers), 中国的首都 (China's capital)",他,ta1,一,yi1,了,le,地,di4,的,de,E
2,The number one; also used as an indefinite article similar to 'a/an' in English.,number,一,yi1,1982,Common in counting and quantifying expressions like 一个人 (one person) or 一本书 (a book),你,ni3,说,shuo1,一,yi1,这,zhe4,我,wo3,C
3,Aspect particle that indicates completion of an action or a change of state. Also used at the end of sentences to show that a new situation has occurred.,particle,了,le,1821,Placed after verbs (我吃了饭 - I ate) or at sentence end (下雨了 - It's raining now),过,guo4,到,dao4,得,de2,了,le,多,duo1,D
4,"Third-person singular pronoun meaning 'he' or 'him', used to refer to a male person or sometimes gender-neutral.",pronoun,他,ta1,1636,Used in sentences like 他是老师 (he is a teacher),过,guo4,要,yao4,起,qi3,对,dui4,他,ta1,E
5,"Earth, ground, or land; refers to the surface we stand on or a piece of territory.",noun,地,di4,1162,"Common in words like 土地 (land), 地方 (place), 地球 (Earth)",以,yi3,天,tian1,可,ke3,地,di4,下,xia4,D
6,"Negative adverb meaning 'not' or 'no', used to negate verbs, adjectives, and certain other words.",adverb,不,bu4,1117,"Used in phrases like 不是 (is not), 不好 (not good), 不去 (not go). Note: changes to 'bú' (2nd tone) before 4th tone syllables.",还,hai2,对,dui4,不,bu4,敏,min3,克,ke4,C
7,"Indicates location or ongoing action; means 'at', 'in', or 'on' when showing where something is, and forms the progressive tense (similar to '-ing') when placed before verbs.",preposition/verb,在,zai4,1087,Used in phrases like 我在家 (I'm at home) or 我在看书 (I am reading),天,tian1,音,yin1,在,zai4,发,fa1,张,zhang1,C
8,"Aspect particle that indicates an ongoing state or continuous action, similar to '-ing' in English. Also shows that an action is in progress or a state is being maintained.",particle,着,zhe,1016,"Attached directly after verbs, as in 坐着 (sitting), 穿着 (wearing), 开着 (open/turned on)",些,xie1,着,zhe,发,fa1,脸,lian3,门,men2,B
9,"The verb 'to be' used to link a subject with a noun or noun phrase, indicating identity or classification.",verb,是,shi4,1015,Used in sentences like 我是学生 (I am a student) or 这是书 (This is a book),星,xing1,黑,hei1,是,shi4,怎,zen3,教,jiao4,C
10,"The most common measure word (classifier) in Mandarin, used for counting general objects and people when no specific classifier applies.",measure word,个,ge4,814,"Used in phrases like 一个人 (one person), 三个苹果 (three apples)",飞,fei1,门,men2,音,yin1,个,ge4,才,cai2,D
