Order Number,Item,Pinyin,Frequency
166,是 怎么,shi4   zen3 me,160
312,怎么 回,zen3 me   hui2,106
320,怎么 回 事,zen3 me   hui2   shi4,104
405,你 怎么,ni3   zen3 me,88
816,怎么 啦,zen3 me   la,56
823,是 怎么 回,shi4   zen3 me   hui2,56
839,是 怎么 回 事,shi4   zen3 me   hui2   shi4,55
840,怎么 说,zen3 me   shuo1,55
1132,怎么 会,zen3 me   hui4,45
1160,他 怎么,ta1   zen3 me,44
1447,怎么 可能,zen3 me   ke3 neng2,37
1551,怎么 做,zen3 me   zuo4,35
1554,怎么 知道,zen3 me   zhi1 dao4,35
1730,怎么办 呢,zen3 me ban4   ne,32
1899,怎么 能,zen3 me   neng2,30
2847,怎么 了,zen3 me   le,22
2926,怎么样 了,zen3 me yang4   le,21
2944,你 是 怎么,ni3   shi4   zen3 me,21
3169,我 怎么,wo3   zen3 me,20
3595,不管 怎么 说,bu4 guan3   zen3 me   shuo1,18
3733,不管 怎么,bu4 guan3   zen3 me,18
4129,你 怎么 知道,ni3   zen3 me   zhi1 dao4,16
4173,怎么 也,zen3 me   ye3,16
4237,该 怎么办,gai1   zen3 me ban4,16
4418,知道 怎样,zhi1 dao4   zen3 yang4,15
4549,我们 怎么,wo3 men   zen3 me,15
4655,你们 怎么,ni3 men   zen3 me,15
4718,该 怎么,gai1   zen3 me,15
4721,他 是 怎么,ta1   shi4   zen3 me,15
5203,不 怎么,bu4   zen3 me,13
5368,她 怎么,ta1   zen3 me,13
5389,怎么 说 呢,zen3 me   shuo1   ne,13
5406,会 怎么样,hui4   zen3 me yang4,13
5564,是 怎么回事,shi4   zen3 me hui2 shi4,13
5693,怎么 办,zen3 me   ban4,13
5851,知道 怎么,zhi1 dao4   zen3 me,12
6309,怎么 想,zen3 me   xiang3,12
6328,他们 怎么,ta1 men   zen3 me,12
6756,又 怎么样,you4   zen3 me yang4,11
7164,会 怎么,hui4   zen3 me,11
7420,那 又 怎么样,na4   you4   zen3 me yang4,10
7502,怎么 不,zen3 me   bu4,10
7518,到底 是 怎么,dao4 di3   shi4   zen3 me,10
8266,究竟 是 怎么,jiu1 jing4   shi4   zen3 me,9
8389,你 怎么 能,ni3   zen3 me   neng2,9
8535,怎么 做 的,zen3 me   zuo4   de,9
8536,怎么 敢,zen3 me   gan3,9
8538,怎么样 呢,zen3 me yang4   ne,9
8559,到底 是 怎么 回,dao4 di3   shi4   zen3 me   hui2,9
8560,到底 是 怎么 回 事,dao4 di3   shi4   zen3 me   hui2   shi4,9
8875,这 是 怎么,zhe4   shi4   zen3 me,9
