Order Number,Item,Pinyin,Frequency
64,把 它,ba3   ta1,295
123,它 的,ta1   de,187
533,着 它,zhe   ta1,75
643,把 它们,ba3   ta1 men,65
1041,它 是,ta1   shi4,48
1082,它 在,ta1   zai4,46
1136,它们 的,ta1 men   de,44
1250,了 它,le   ta1,41
1278,让 它,rang4   ta1,41
1385,它 就,ta1   jiu4,38
1900,用 它,yong4   ta1,30
2456,它 不,ta1   bu4,24
2750,对 它,dui4   ta1,22
2846,它 会,ta1   hui4,22
2939,它们 都,ta1 men   dou1,21
2949,它们 是,ta1 men   shi4,21
3181,但 它,dan4   ta1,20
3435,它 了,ta1   le,19
3524,在 它,zai4   ta1,18
3755,看见 它,kan4 jian4   ta1,18
4105,让 它们,rang4   ta1 men,16
4110,了 它 的,le   ta1   de,16
4172,它 没有,ta1   mei2 you3,16
4509,它 还,ta1   hai2,15
4676,到 它,dao4   ta1,15
4784,我 把 它,wo3   ba3   ta1,14
4827,给 它,gei3   ta1,14
4904,它们 不,ta1 men   bu4,14
4910,它们 在,ta1 men   zai4,14
4916,想 把 它,xiang3   ba3   ta1,14
4925,使 它,shi3   ta1,14
5664,它 把,ta1   ba3,13
5707,因为 它,yin1 wei4   ta1,13
5789,看 它,kan4   ta1,13
5850,知道 它,zhi1 dao4   ta1,12
5883,它们 会,ta1 men   hui4,12
5982,它 有,ta1   you3,12
5994,它 看上去,ta1   kan4 shang4 qu4,12
6301,它 能,ta1   neng2,12
6477,着 它 的,zhe   ta1   de,11
6672,它 那,ta1   na4,11
6867,他 把 它,ta1   ba3   ta1,11
6923,望 着 它,wang4   zhe   ta1,11
7286,能 把 它,neng2   ba3   ta1,10
7480,它 也,ta1   ye3,10
7481,它 从,ta1   cong2,10
7490,它 已经,ta1   yi3 jing1,10
7562,从 它,cong2   ta1,10
7876,哈利 把 它,ha1 li4   ba3   ta1,10
7901,它 又,ta1   you4,10
8302,它 给,ta1   gei3,9
8313,说 它,shuo1   ta1,9
8317,了 它们,le   ta1 men,9
8477,如果 它,ru2 guo3   ta1,9
8523,它 像,ta1   xiang4,9
8748,抓住 它,zhua1 zhu4   ta1,9
8876,是 它,shi4   ta1,9
9333,地 把 它,di4   ba3   ta1,9
9551,它 以前,ta1   yi3 qian2,8
9559,它 来,ta1   lai2,8
9562,它 被,ta1   bei4,8
9624,跟 它,gen1   ta1,8
9852,它 变成,ta1   bian4 cheng2,8
9863,它 打开,ta1   da3 kai1,8
9866,它 拿,ta1   na2,8
9874,它 比,ta1   bi3,8
9890,它 说,ta1   shuo1,8
10067,把 它 拿,ba3   ta1   na2,8
10211,就 把 它,jiu4   ba3   ta1,8
10897,会 把 它,hui4   ba3   ta1,8
10935,看到 它,kan4 dao4   ta1,8
11243,要 把 它,yao4   ba3   ta1,7
11254,它 似乎,ta1   si4 hu1,7
11256,它 就 会,ta1   jiu4   hui4,7
11260,它 扔掉,ta1   reng1 diao4,7
11266,它们 就,ta1 men   jiu4,7
11593,被 它,bei4   ta1,7
11618,需要 它,xu1 yao4   ta1,7
11686,它 去,ta1   qu4,7
11689,它 太,ta1   tai4,7
11695,它 抓住,ta1   zhua1 zhu4,7
11700,它 放,ta1   fang4,7
12000,把 它 从,ba3   ta1   cong2,7
12001,把 它 打开,ba3   ta1   da3 kai1,7
12002,把 它 扔掉,ba3   ta1   reng1 diao4,7
12004,把 它 抓住,ba3   ta1   zhua1 zhu4,7
12005,把 它 放,ba3   ta1   fang4,7
12006,把 它 的,ba3   ta1   de,7
12090,叫 它,jiao4   ta1,7
